aFec,bFec,qFec,sC,segg,spg,scoregg,Rec12,Bsp12,Bsp13,Bsp14,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,ark,brk,sigRrk,scorrk,nllRrk,abh,bbh,sigRbh,scorbh,nllRbh,ahs,bhs,ghs,sigRhs,scorhs,nllRhs,neglnL,Rec1982,Rec2001,SSB1982,SSB2001,Bloss
0.66768,2.109,1.656,0.25052,0.53842,0.54594,0.34485,2247300,1187900,1035700,870860,1533500,444240,256430,477500,900490,356240,148450,134920,161290,2212700,0.011764,0.059413,0.064775,0.090463,0.098046,0.10839,0.090245,0.14678,0.10534,0.11581,0.090575,3.1026,4.0426E-07,0.71786,0.67813,31.536,2463900,2206.3,0.69832,0.66937,30.736,0.82156,2080100,1832,0.75194,0.69398,32.881,126.58,61652000,18262000,1660800,641270,641270
0.77515,1.6207,1.5999,0.22589,0.6515,0.54076,0.80686,1552500,459860,370680,280260,1018900,261650,143740,266310,448030,158480,68111,57012,60124,520560,0.017065,0.08791,0.094646,0.15719,0.1526,0.20022,0.19235,0.20698,0.20129,0.26706,0.25585,2.3442,2.7715E-07,0.65094,0.58123,28.698,4522500,1596400,0.65332,0.59018,28.804,0.82556,2171300,1806.3,0.66534,0.58022,29.333,119.49,75905000,13069000,1719300,485570,280260
0.84121,1.0571,0.98902,0.24378,0.50543,0.52748,0.49218,4849000,1992100,1829400,1647600,3460800,935090,546100,970850,1678100,613630,259260,232250,290460,4030100,0.0067976,0.033356,0.034527,0.053311,0.062595,0.076636,0.07352,0.094004,0.060275,0.060022,0.058276,4.0107,4.361E-07,0.66316,0.60929,29.238,3608200,269250,0.6499,0.59441,28.652,0.79753,2383200,2422.7,0.73432,0.66895,32.194,126.66,73496000,24230000,2184000,888820,888820
0.8187,1.6442,1.2636,0.24852,0.5225,0.5475,0.44769,1211600,1018400,808620,619720,766340,225480,135590,299150,602230,231460,103040,93974,120630,1770600,0.01662,0.097145,0.095865,0.12733,0.10768,0.13111,0.14091,0.16947,0.1418,0.128,0.12453,1.9627,2.2896E-07,0.7711,0.71118,33.611,4482100,1735700,0.77012,0.71244,33.574,0.6531,2745600,2166.3,0.77622,0.70604,33.803,123.57,71796000,17453000,2355000,763230,619720
0.8184,1.3929,1.4988,0.23584,0.62247,0.53478,0.73962,2210000,601570,515090,419800,1505900,380730,206840,391570,619510,215060,87872,73339,84441,801780,0.013549,0.068377,0.070023,0.12293,0.11621,0.1922,0.16225,0.19802,0.16337,0.1893,0.20221,3.1793,4.1976E-07,0.66805,0.60381,29.451,4081400,1218800,0.64342,0.57393,28.362,0.82281,2224900,1946.3,0.67008,0.57439,29.539,121.39,78152000,14023000,1945100,536190,419800
0.7948,1.6549,1.2013,0.23241,0.5028,0.54818,0.63106,1635100,1132500,941890,765500,1080000,331140,212970,415750,734740,288330,139390,128530,159630,2024000,0.013308,0.083289,0.067839,0.093145,0.099847,0.14068,0.1112,0.11899,0.10096,0.10768,0.11675,2.7292,3.5773E-07,0.74104,0.70891,32.458,2557900,155620,0.72314,0.70178,31.749,0.78384,2142700,1862.3,0.76959,0.72122,33.554,119.28,67095000,18861000,1535100,595710,595710
0.78571,1.8731,0.97838,0.24736,0.56961,0.55443,0.59414,4731500,2854000,2553500,2282600,3373800,859340,531200,1005200,1805000,707270,338830,334130,422810,6282600,0.0066916,0.034523,0.038413,0.045825,0.051501,0.070798,0.052195,0.05503,0.03885,0.046964,0.040423,6.4063,5.9831E-07,0.67288,0.6038,29.66,4018900,277580,0.7054,0.65453,31.028,1.4177,1156800,2507.5,0.68625,0.63313,30.23,126.59,74774000,32434000,1431700,873890,873890
0.86898,1.3224,1.3683,0.22814,0.45334,0.56578,0.5697,947330,895490,664140,482380,570670,159550,87625,180390,340790,138230,67389,68983,95086,1585500,0.021401,0.12169,0.12524,0.19824,0.16729,0.19478,0.17509,0.17841,0.13631,0.1423,0.13416,2.1981,2.933E-07,0.84818,0.76393,36.374,3426300,975440,0.84339,0.76483,36.21,0.72166,2135900,1699.2,0.85665,0.76169,36.662,117.82,57454000,17339000,1612000,613530,482380
0.81949,1.4612,1.3136,0.23948,0.45406,0.56748,0.46301,447470,932790,627460,410560,200810,60016,36992,89055,186710,74054,38241,45454,70148,1627400,0.029825,0.23781,0.21398,0.27199,0.21521,0.24352,0.25235,0.24666,0.16357,0.15287,0.13796,1.4673,1.5092E-07,0.95998,0.80978,39.965,6630100,4182100,0.95993,0.8099,39.963,0.58384,2581300,1981.2,0.95531,0.80737,39.823,120.86,64950000,17897000,1998900,746080,410560
0.84703,1.4681,1.2517,0.2558,0.58136,0.55838,0.65279,1109400,2424000,1962200,1616700,690670,234520,171170,358180,785610,328020,171450,186650,265520,5546300,0.014849,0.10449,0.077446,0.10159,0.10102,0.084047,0.090958,0.096284,0.056155,0.05934,0.047882,8.2562,8.0819E-07,0.82502,0.74289,35.571,3954700,619290,0.91007,0.79696,38.416,1.0686,1256300,2390.6,0.86431,0.77965,36.92,126.93,63714000,30224000,1685200,1005300,1005300
