1998,0.0144,0.040720633,0.087394745,0.102017334,0.113237778,0.139976724,0.162371105,0.172287573,0.182980785,0.191535413,0.213345377,0.249272005
1999,0.013,0.011649087,0.065102511,0.094740841,0.113890176,0.128300395,0.154127887,0.181409496,0.188775667,0.201066169,0.231168811,0.311428465
2000,0.023348357,0.059133956,0.082559679,0.097419554,0.127928557,0.140569496,0.156944372,0.161467012,0.194766842,0.211545176,0.242983806,0.292761174
2001,0.017524093,0.042724607,0.065347839,0.102904479,0.11572607,0.132649036,0.143909913,0.154276505,0.172294739,0.197408985,0.228057875,0.282419313
2002,0.019096255,0.039237039,0.070187853,0.096288414,0.124988232,0.142912317,0.150869761,0.166114161,0.184460867,0.211985638,0.256539204,0.344342365
2003,0.041504619,0.060519037,0.061212858,0.077641489,0.126750344,0.148417107,0.170864943,0.167782189,0.179017834,0.189443506,0.226434006,0.347805169
2004,0.034673955,0.040672865,0.090783245,0.098284676,0.138023488,0.151761674,0.162868154,0.172845121,0.187697454,0.179316921,0.190758314,0.270101337
2005,0.022493896,0.029944248,0.059093072,0.084686757,0.106730107,0.157408207,0.18497658,0.214743746,0.210970243,0.204144829,0.238530298,0.402331664
2006,0.035948175,0.040282152,0.063292211,0.110492196,0.144312644,0.133707433,0.187805591,0.219646952,0.252537072,0.286432564,0.265813656,0.288859004
2007,0.013,0.055,0.074,0.104,0.12,0.125,0.159,0.178,0.221,0.231,0.242,0.302781221
2008,0.033,0.044,0.069,0.104,0.119,0.14,0.162,0.18,0.22,0.249,0.277,0.31162416
2009,0.0315,0.043,0.0657,0.098,0.1247,0.1594,0.1802,0.2233,0.2299,0.284,0.3127,0.406739679
2010,0.0449,0.0399,0.0867,0.1106,0.143,0.1643,0.1799,0.194,0.2166,0.2379,0.248,0.312566527
2011,0.035,0.049,0.084,0.109,0.135,0.176,0.182,0.201,0.214,0.234,0.256,0.318
2012,0.05752,0.06129,0.08332,0.10754,0.14851,0.16641,0.18186,0.20666,0.22801,0.24191,0.26587,0.2906
2013,0.03904,0.05617,0.08893,0.12243,0.14112,0.16345,0.19172,0.2258,0.23528,0.25394,0.24966,0.3165
