Bsp_1982,Bsp_1983,Bsp_1984,Bsp_1985,Bsp_1986,Bsp_1987,Bsp_1988,Bsp_1989,Bsp_1990,Bsp_1991,Bsp_1992,Bsp_1993,Bsp_1994,Bsp_1995,Bsp_1996,Bsp_1997,Bsp_1998,Bsp_1999,Bsp_2000,Bsp_2001,Bsp_2002,Bsp_2003,Bsp_2004,Bsp_2005,Bsp_2006,Bsp_2007,Bsp_2008,Bsp_2009,Bsp_2010,Bsp_2011,Bsp_2012,Bsp_2013,Bsp_2014,Rec_1982,Rec_1983,Rec_1984,Rec_1985,Rec_1986,Rec_1987,Rec_1988,Rec_1989,Rec_1990,Rec_1991,Rec_1992,Rec_1993,Rec_1994,Rec_1995,Rec_1996,Rec_1997,Rec_1998,Rec_1999,Rec_2000,Rec_2001,Rec_2002,Rec_2003,Rec_2004,Rec_2005,Rec_2006,Rec_2007,Rec_2008,Rec_2009,Rec_2010,Rec_2011,Rec_2012
1489600,1474100,1333900,2224700,2854300,3370500,3822600,3494100,2960000,2801400,2285700,2121000,1781100,1364800,1256300,1088100,921500,878340,809560,552800,675390,744690,882530,1229400,1209400,1090000,1154400,1177100,896720,763950,598480,382320,223320,61515000,504720,1424400,2593100,3736300,5103200,1935100,2071900,1800400,3279100,6008500,7075200,7363200,4315400,2330500,1956200,3473400,3833900,3863000,14944000,3266000,2225600,1137600,722490,571180,881290,1690200,697670,217190,208660,416630
1526300,1507300,1356100,2226200,2838300,3335900,3777000,3446200,2921200,2757900,2245100,2078400,1747400,1337900,1223900,1045800,863750,798100,709720,459590,520460,542230,649420,923370,917110,837620,889780,898520,678630,587690,490700,402520,308610,60301000,506150,1430700,2598500,3733600,5094200,1922200,2056700,1777000,3216300,5840700,6774000,6932000,4012600,2062000,1665400,2581900,2954100,3056700,13269000,3123800,2275300,1220000,833090,713950,1224700,2548000,1130400,436960,545300,1756400
2310300,2217200,1955200,2936600,3628800,4154600,4689200,4267100,3663400,3457700,2826400,2629500,2261100,1779300,1637400,1423900,1197300,1142800,1074400,761600,917320,967230,1102600,1487000,1445200,1288900,1368700,1419900,1092400,948310,779340,560110,397470,68997000,556810,1723600,3062200,4164300,5371600,2105700,2184100,1914000,3500600,6459000,7720200,8108000,4720400,2617600,2205100,4018400,4230100,4149900,15869000,3458700,2442000,1189800,769690,620450,998450,1917800,771350,268410,283110,745380
1619700,1593200,1463700,2508000,3261400,3886300,4431400,4074400,3453800,3294200,2708900,2533600,2113300,1602000,1434400,1213300,999150,938630,863260,592950,718820,786490,924530,1279700,1259000,1137600,1213600,1263000,979030,831780,672610,499480,360200,71487000,513790,1477300,2675100,3811100,5149500,1964000,2090400,1819000,3315500,6082900,7183200,7491200,4382500,2382100,2006600,3511900,4001200,3942100,15091000,3375300,2412300,1226400,807370,669260,1080500,2112600,861500,310780,368940,958520
1672100,1642500,1516200,2617200,3415800,4080800,4661600,4295500,3646600,3490000,2880900,2708900,2272000,1741600,1587600,1386800,1201900,1195600,1169100,867160,1145300,1342600,1607500,2226800,2209600,1997900,2154200,2298000,1876300,1711300,1443100,1067800,806890,75142000,520720,1523200,2758600,3908000,5229200,2033200,2153000,1902900,3522400,6600800,8073500,8734800,5200100,3096600,2820000,5397700,6544700,6675300,21729000,4247600,2989800,1496900,903430,709780,1134200,2157800,854650,272770,299170,750420
1685000,1653800,1540600,2711800,3567900,4285900,4907000,4531900,3843100,3687700,3050200,2872800,2394300,1816300,1622800,1384700,1162700,1126200,1077700,781330,1000500,1153600,1427200,2046000,2081600,1930800,2114300,2265500,1883600,1796900,1632600,1390800,1185700,79612000,520390,1519300,2748100,3891000,5211700,2015300,2135000,1877200,3456600,6431800,7774500,8318100,4919200,2837100,2556500,4669600,5472500,6148600,22495000,4710500,3601400,1852700,1201900,1028900,1752200,3668300,1602200,608960,790150,2476800
1451300,1438800,1318700,2270600,2951100,3517100,4002500,3671700,3104600,2950800,2416200,2247500,1869200,1413200,1275600,1082400,894090,834200,753620,501840,594300,634350,731220,999050,965080,858180,891390,880840,636980,498300,346870,193100,97305,65291000,501500,1404600,2561000,3703700,5080100,1917700,2057800,1782800,3237100,5905500,6900200,7118100,4156000,2191600,1789800,3132200,3327300,3225200,12692000,2906000,2021200,1009700,656200,514910,786840,1471400,602310,186550,178720,363330
1554300,1533600,1400300,2374900,3072000,3648100,4150800,3807600,3226700,3068300,2515500,2345400,1961800,1494700,1356900,1163600,975800,928640,860810,594260,729800,824640,1028300,1490400,1516900,1408200,1525300,1610400,1314600,1220300,1078500,888520,722240,66941000,509550,1453100,2638500,3779400,5131400,1954300,2085700,1816000,3313600,6086900,7200800,7538700,4413100,2412800,2088200,3487200,4252000,4696300,18433000,4026800,2984800,1547200,1034700,875270,1461900,2963100,1282200,503240,604080,1712100
1448900,1436200,1308600,2224300,2875000,3413200,3877400,3550000,3002000,2845800,2324200,2156300,1796100,1359100,1226600,1035000,843640,771310,678520,432750,481910,492150,573110,798350,778620,701290,724220,695160,488330,388820,303580,231390,156920,63000000,500630,1398200,2548300,3687500,5065400,1904000,2044600,1764300,3189800,5782200,6682600,6811000,3939400,2002700,1591200,2452900,2772000,2709500,11774000,2879800,2093100,1083000,707690,584940,1001800,2058000,883870,315750,382380,1083500
1747300,1708900,1556900,2600100,3350600,3965300,4514000,4143400,3519000,3350000,2751500,2571300,2153000,1636500,1457300,1219700,982820,900860,808690,538110,618840,654960,778600,1091300,1079400,978110,1028800,1053500,819260,709190,580070,447750,330080,71703000,521100,1517700,2733400,3857100,5171300,1971000,2088900,1810500,3284700,5987300,6998200,7218200,4176600,2197500,1820400,2811800,3471600,3543600,14197000,3217700,2352900,1229800,829470,691600,1176300,2436100,1017000,375700,417270,1169800
